frequency_hz,V6,V8,inline-4,inline-6,single-cylinder
850.5615234375,-6.2028149102911865,-8.291527202282012,-7.433559509064144,-8.370325658026383,-6.290520869810625
861.328125,-6.267114284167216,-8.333476277751956,-7.531759366319269,-8.421975345944707,-6.297538777881056
872.0947265625,-6.328605340625874,-8.350898978803311,-7.5748250487066535,-8.466614303809902,-6.322827021428599
882.861328125,-6.383162894979631,-8.391072225425148,-7.648489623714578,-8.513660485590544,-6.369450493731326
893.6279296875,-6.4300507270904195,-8.418710658442038,-7.702609487725642,-8.558796641603523,-6.400061593740367
904.39453125,-6.458401062994237,-8.480559881711965,-7.806419538906258,-8.592769447457297,-6.49466650764099
915.1611328125,-6.504204463446382,-8.515510249334728,-7.832864690083927,-8.64710742530055,-6.545241755576544
925.927734375,-6.55014337154902,-8.60241855887556,-7.902301919360546,-8.670634785441177,-6.615499529265859
936.6943359375,-6.615951935923047,-8.658992787520628,-7.9588157445315755,-8.64852551960972,-6.713917758239745
947.4609375,-6.667955295180393,-8.73757234004687,-8.00587981735727,-8.69446460164367,-6.8477795391
958.2275390625,-6.747446778337388,-8.813690574023681,-8.0093023923751,-8.70467193807677,-6.959867313149282
968.994140625,-6.788615782832946,-8.92719311035507,-8.074766346101327,-8.75326870160479,-7.09351300326444
979.7607421875,-6.845042992260242,-9.021830063881705,-8.111931763391212,-8.771179604085162,-7.214949365313215
990.52734375,-6.903842189027726,-9.180710125432185,-8.177748562339568,-8.783143270333818,-7.37250966195075
1001.2939453125,-6.979534245143108,-9.288819335407268,-8.199929766620572,-8.781763655123157,-7.434921191907507
1012.060546875,-7.035644259933471,-9.402991865428437,-8.252623371658437,-8.780678274074948,-7.586092727601919
1022.8271484375,-7.095336123830253,-9.464207869185277,-8.321948629409007,-8.809515337005475,-7.707327050650478
1033.59375,-7.127937455955489,-9.584899121850558,-8.3844625423765,-8.857713047485715,-7.799591519704179
1044.3603515625,-7.186191043680595,-9.68091769201984,-8.445586461715168,-8.913018850894503,-7.899567616268164
1055.126953125,-7.211489261011912,-9.77683745952428,-8.552936972694603,-8.954599567083333,-7.9898118119923565
1065.8935546875,-7.291399836568609,-9.894254648146905,-8.633802624556012,-8.990695019885552,-8.106192210544522
1076.66015625,-7.3072570588469885,-10.012672811515362,-8.734254942302536,-9.027751600495213,-8.185123698644697
1087.4267578125,-7.381762726168854,-10.083256334378607,-8.809838348368423,-9.10334193873141,-8.277212466767649
1098.193359375,-7.389955452334931,-10.192475527764564,-8.908746259440933,-9.17134833217049,-8.387432247548963
1108.9599609375,-7.455897168564194,-10.27563074339227,-8.960031843947958,-9.2268371536574,-8.46633348133291
1119.7265625,-7.49296194057201,-10.412971220689716,-9.034441038151503,-9.255458382992115,-8.515007522918847
1130.4931640625,-7.513116906457676,-10.497679065685865,-9.104035209297201,-9.309955828996536,-8.557465797769293
1141.259765625,-7.535950113916065,-10.600025495744418,-9.168198739312903,-9.316137869201517,-8.608294248693024
1152.0263671875,-7.591066398968908,-10.695919887650483,-9.206153306043685,-9.387168791895906,-8.681636818320685
1162.79296875,-7.600167422716023,-10.725661230283354,-9.219047088106237,-9.414188732209094,-8.64923091243635
1173.5595703125,-7.662422336036129,-10.787333481970599,-9.240317827381004,-9.437016877719914,-8.67969552159075
1184.326171875,-7.67241547616509,-10.87228389808537,-9.250578992287856,-9.459485422866367,-8.683855917321955
1195.0927734375,-7.737215705508407,-10.910713598139342,-9.262696299944787,-9.486158498441412,-8.679873434367328
1205.859375,-7.75099751198252,-10.99072412346047,-9.32146014463884,-9.538667044691055,-8.667880132910607
1216.6259765625,-7.798528826678218,-11.028641326100008,-9.300507695736894,-9.591621914000374,-8.66577219796413
1227.392578125,-7.857576349772763,-11.08703738406842,-9.318437700042583,-9.645050216969892,-8.683917547018803
1238.1591796875,-7.919841673185549,-11.129049617712909,-9.316044780086106,-9.701934460862837,-8.670735547172669
1248.92578125,-7.9488149212270605,-11.188977861957426,-9.338106759034838,-9.736891294726188,-8.662827272776093
1259.6923828125,-8.01026710756124,-11.260629178222516,-9.33875057890665,-9.787111071509852,-8.667290269105159
1270.458984375,-8.07564942784078,-11.284669679825036,-9.335916928652185,-9.86428597461814,-8.671263064244345
1281.2255859375,-8.138715216807899,-11.33387634691072,-9.351472872236918,-9.927220766156374,-8.666944480673944
1291.9921875,-8.210532252015838,-11.393669938473842,-9.344138272353572,-9.99116461590064,-8.664239199385044
1302.7587890625,-8.273373762314495,-11.461593075285368,-9.332966151305559,-10.049750854541964,-8.675765067550133
1313.525390625,-8.323068017955446,-11.503679473143961,-9.380266459736369,-10.110756368348516,-8.680086598057754
1324.2919921875,-8.383172799263576,-11.557028531996338,-9.387264816747498,-10.174759519012406,-8.690095317432926
1335.05859375,-8.441871498012546,-11.595648774359901,-9.439950672286582,-10.214589121193727,-8.707036183099591
1345.8251953125,-8.546078245911492,-11.649468148281265,-9.428564221119126,-10.286779270844434,-8.70822610371371
1356.591796875,-8.625044585198328,-11.697161151060708,-9.472376525067595,-10.359755422441651,-8.794846995642551
1367.3583984375,-8.676955503637597,-11.762323740630123,-9.5125033011794,-10.395283012942672,-8.811135745249771
1378.125,-8.740093103358738,-11.787123087485007,-9.525110974644644,-10.45420307620166,-8.844939683168397
1388.8916015625,-8.771773392828884,-11.86447016705711,-9.586057664344718,-10.49529871155938,-8.91695413338775
