engine_configuration,bootstrap,theta_max_deg,r_ref,r_used,n_train_clips,n_sampled_clips,n_frames_sampled
V6,66,18.70416831970215,3,3,38,27,1350
V6,67,37.95301818847656,3,3,38,27,1350
V6,68,16.343244552612305,3,3,38,27,1350
V6,69,5.4407124519348145,3,3,38,27,1350
V6,70,8.803547859191895,3,3,38,27,1350
V6,71,27.776351928710938,3,3,38,27,1350
V6,72,12.963665962219238,3,3,38,27,1350
V6,73,78.63121795654297,3,3,38,27,1350
V6,74,15.608625411987305,3,2,38,27,1350
V6,75,17.11020278930664,3,3,38,27,1350
V6,76,25.92085075378418,3,3,38,27,1350
V6,77,6.628920078277588,3,2,38,27,1350
V6,78,19.150001525878906,3,2,38,27,1350
V6,79,10.971600532531738,3,2,38,27,1350
V6,80,20.35729217529297,3,3,38,27,1350
V6,81,41.635231018066406,3,3,38,27,1350
V6,82,60.97578811645508,3,3,38,27,1350
V6,83,5.299938201904297,3,2,38,27,1350
V6,84,46.88386917114258,3,3,38,27,1350
V6,85,7.069243907928467,3,3,38,27,1350
V6,86,46.3710823059082,3,3,38,27,1350
V6,87,8.320459365844727,3,3,38,27,1350
V6,88,15.187817573547363,3,2,38,27,1350
V6,89,19.274288177490234,3,3,38,27,1350
V6,90,15.511500358581543,3,3,38,27,1350
V6,91,33.25467300415039,3,3,38,27,1350
V6,92,15.18149471282959,3,3,38,27,1350
V6,93,22.77350425720215,3,3,38,27,1350
V6,94,9.007868766784668,3,3,38,27,1350
V6,95,22.04871940612793,3,3,38,27,1350
V6,96,11.047083854675293,3,2,38,27,1350
V6,97,17.99323081970215,3,3,38,27,1350
V6,98,22.787147521972656,3,3,38,27,1350
V6,99,26.91109848022461,3,3,38,27,1350
single-cylinder,0,8.603889465332031,4,3,41,29,1450
single-cylinder,1,30.159257888793945,4,3,41,29,1450
single-cylinder,2,11.177603721618652,4,4,41,29,1450
single-cylinder,3,4.934869289398193,4,3,41,29,1450
single-cylinder,4,13.238910675048828,4,4,41,29,1450
single-cylinder,5,25.132047653198242,4,3,41,29,1450
single-cylinder,6,34.80564498901367,4,3,41,29,1450
single-cylinder,7,5.512955188751221,4,3,41,29,1450
single-cylinder,8,9.17720890045166,4,4,41,29,1450
single-cylinder,9,10.172410011291504,4,4,41,29,1450
single-cylinder,10,8.138585090637207,4,4,41,29,1450
single-cylinder,11,7.683061599731445,4,3,41,29,1450
single-cylinder,12,18.329116821289062,4,4,41,29,1450
single-cylinder,13,7.903160095214844,4,4,41,29,1450
single-cylinder,14,22.352224349975586,4,4,41,29,1450
single-cylinder,15,15.784578323364258,4,3,41,29,1450
